```csv
nutrient_identifier,life_stage_name,dri_type,value_numeric,value_string,unit,source_of_goal,criterion,footnote_marker,notes,source_document
NIA,"Males 4-8 years",RDA,8,,mg,RDA,,,,DGA App1 T A1-2
VITB6,"Males 4-8 years",RDA,0.6,,mg,RDA,,,,DGA App1 T A1-2
VITB12,"Males 4-8 years",RDA,1.2,,mcg,RDA,,,,DGA App1 T A1-2
CHOLN,"Males 4-8 years",AI,250,,mg,AI,,,,DGA App1 T A1-2
VITK,"Males 4-8 years",AI,55,,mcg,AI,,,,DGA App1 T A1-2
FOL_DFE,"Males 4-8 years",RDA,200,,mcg DFE,RDA,,d,,DGA App1 T A1-2
PROCNT,"Males 9-13 years",AMDR_perc_range,,"10-30",% kcal,AMDR,,,,DGA App1 T A1-2
PROCNT,"Males 9-13 years",RDA,34,,g,RDA,,,,DGA App1 T A1-2
CHOCDF,"Males 9-13 years",AMDR_perc_range,,"45-65",% kcal,AMDR,,,,DGA App1 T A1-2
CHOCDF,"Males 9-13 years",RDA,130,,g,RDA,,,,DGA App1 T A1-2
FIBTG,"Males 9-13 years",AI,25,,g,AI,"14g/1,000 kcal",,Assessed Calorie Level 1800 (1.8*14=25.2, rounded to 25),DGA App1 T A1-2
SUGAR_ADD,"Males 9-13 years",DGA_limit,,"<10",% kcal,DGA,,,,DGA App1 T A1-2
FAT,"Males 9-13 years",AMDR_perc_range,,"25-35",% kcal,AMDR,,,,DGA App1 T A1-2
FASAT,"Males 9-13 years",DGA_limit,,"<10",% kcal,DGA,,,,DGA App1 T A1-2
FALINOLEIC,"Males 9-13 years",AI,12,,g,AI,,,,DGA App1 T A1-2
FAALALIN,"Males 9-13 years",AI,1.2,,g,AI,,,,DGA App1 T A1-2
CA,"Males 9-13 years",RDA,1300,,mg,RDA,,,,DGA App1 T A1-2
FE,"Males 9-13 years",RDA,8,,mg,RDA,,,,DGA App1 T A1-2
MG,"Males 9-13 years",RDA,240,,mg,RDA,,,,DGA App1 T A1-2
P,"Males 9-13 years",RDA,1250,,mg,RDA,,,,DGA App1 T A1-2
K,"Males 9-13 years",AI,2500,,mg,AI,,,,DGA App1 T A1-2
NA,"Males 9-13 years",CDRR,1800,,mg,CDRR,,,,DGA App1 T A1-2
ZN,"Males 9-13 years",RDA,8,,mg,RDA,,,,DGA App1 T A1-2
VITA_RAE,"Males 9-13 years",RDA,600,,mcg RAE,RDA,,d,,DGA App1 T A1-2
VITE_AT,"Males 9-13 years",RDA,11,,mg AT,RDA,,d,,DGA App1 T A1-2
VITD_IU,"Males 9-13 years",RDA,600,,IU,RDA,,d,,DGA App1 T A1-2
VITC,"Males 9-13 years",RDA,45,,mg,RDA,,,,DGA App1 T A1-2
THIA,"Males 9-13 years",RDA,0.9,,mg,RDA,,,,DGA App1 T A1-2
RIBF,"Males 9-13 years",RDA,0.9,,mg,RDA,,,,DGA App1 T A1-2
NIA,"Males 9-13 years",RDA,12,,mg,RDA,,,,DGA App1 T A1-2
VITB6,"Males 9-13 years",RDA,1.0,,mg,RDA,,,,DGA App1 T A1-2
VITB12,"Males 9-13 years",RDA,1.8,,mcg,RDA,,,,DGA App1 T A1-2
CHOLN,"Males 9-13 years",AI,375,,mg,AI,,,,DGA App1 T A1-2
VITK,"Males 9-13 years",AI,60,,mcg,AI,,,,DGA App1 T A1-2
FOL_DFE,"Males 9-13 years",RDA,300,,mcg DFE,RDA,,d,,DGA App1 T A1-2
PROCNT,"Males 14-18 years",AMDR_perc_range,,"10-30",% kcal,AMDR,,,,DGA App1 T A1-2
PROCNT,"Males 14-18 years",RDA,52,,g,RDA,,,,DGA App1 T A1-2
CHOCDF,"Males 14-18 years",AMDR_perc_range,,"45-65",% kcal,AMDR,,,,DGA App1 T A1-2
CHOCDF,"Males 14-18 years",RDA,130,,g,RDA,,,,DGA App1 T A1-2
FIBTG,"Males 14-18 years",AI,31,,g,AI,"14g/1,000 kcal",,Assessed Calorie Level 2200 (2.2*14=30.8, rounded to 31),DGA App1 T A1-2
SUGAR_ADD,"Males 14-18 years",DGA_limit,,"<10",% kcal,DGA,,,,DGA App1 T A1-2
FAT,"Males 14-18 years",AMDR_perc_range,,"25-35",% kcal,AMDR,,,,DGA App1 T A1-2
FASAT,"Males 14-18 years",DGA_limit,,"<10",% kcal,DGA,,,,DGA App1 T A1-2
FALINOLEIC,"Males 14-18 years",AI,16,,g,AI,,,,DGA App1 T A1-2
FAALALIN,"Males 14-18 years",AI,1.6,,g,AI,,,,DGA App1 T A1-2
CA,"Males 14-18 years",RDA,1300,,mg,RDA,,,,DGA App1 T A1-2
FE,"Males 14-18 years",RDA,11,,mg,RDA,,,,DGA App1 T A1-2
MG,"Males 14-18 years",RDA,410,,mg,RDA,,,,DGA App1 T A1-2
P,"Males 14-18 years",RDA,1250,,mg,RDA,,,,DGA App1 T A1-2
K,"Males 14-18 years",AI,3000,,mg,AI,,,,DGA App1 T A1-2
NA,"Males 14-18 years",CDRR,2300,,mg,CDRR,,,,DGA App1 T A1-2
ZN,"Males 14-18 years",RDA,11,,mg,RDA,,,,DGA App1 T A1-2
VITA_RAE,"Males 14-18 years",RDA,900,,mcg RAE,RDA,,d,,DGA App1 T A1-2
VITE_AT,"Males 14-18 years",RDA,15,,mg AT,RDA,,d,,DGA App1 T A1-2
VITD_IU,"Males 14-18 years",RDA,600,,IU,RDA,,d,,DGA App1 T A1-2
VITC,"Males 14-18 years",RDA,75,,mg,RDA,,,,DGA App1 T A1-2
THIA,"Males 14-18 years",RDA,1.2,,mg,RDA,,,,DGA App1 T A1-2
RIBF,"Males 14-18 years",RDA,1.3,,mg,RDA,,,,DGA App1 T A1-2
NIA,"Males 14-18 years",RDA,16,,mg,RDA,,,,DGA App1 T A1-2
VITB6,"Males 14-18 years",RDA,1.3,,mg,RDA,,,,DGA App1 T A1-2
VITB12,"Males 14-18 years",RDA,2.4,,mcg,RDA,,,,DGA App1 T A1-2
CHOLN,"Males 14-18 years",AI,550,,mg,AI,,,,DGA App1 T A1-2
VITK,"Males 14-18 years",AI,75,,mcg,AI,,,,DGA App1 T A1-2
FOL_DFE,"Males 14-18 years",RDA,400,,mcg DFE,RDA,,d,,DGA App1 T A1-2
PROCNT,"Males 19-30 years",AMDR_perc_range,,"10-35",% kcal,AMDR,,,,DGA App1 T A1-2
PROCNT,"Males 19-30 years",RDA,56,,g,RDA,,,,DGA App1 T A1-2
CHOCDF,"Males 19-30 years",AMDR_perc_range,,"45-65",% kcal,AMDR,,,,DGA App1 T A1-2
CHOCDF,"Males 19-30 years",RDA,130,,g,RDA,,,,DGA App1 T A1-2
FIBTG,"Males 19-30 years",AI,34,,g,AI,"14g/1,000 kcal",,Assessed Calorie Level 2400 (2.4*14=33.6, rounded to 34),DGA App1 T A1-2
SUGAR_ADD,"Males 19-30 years",DGA_limit,,"<10",% kcal,DGA,,,,DGA App1 T A1-2
FAT,"Males 19-30 years",AMDR_perc_range,,"20-35",% kcal,AMDR,,,,DGA App1 T A1-2
FASAT,"Males 19-30 years",DGA_limit,,"<10",% kcal,DGA,,,,DGA App1 T A1-2
FALINOLEIC,"Males 19-30 years",AI,17,,g,AI,,,,DGA App1 T A1-2
FAALALIN,"Males 19-30 years",AI,1.6,,g,AI,,,,DGA App1 T A1-2
CA,"Males 19-30 years",RDA,1000,,mg,RDA,,,,DGA App1 T A1-2
FE,"Males 19-30 years",RDA,8,,mg,RDA,,,,DGA App1 T A1-2
MG,"Males 19-30 years",RDA,400,,mg,RDA,,,,DGA App1 T A1-2
P,"Males 19-30 years",RDA,700,,mg,RDA,,,,DGA App1 T A1-2
K,"Males 19-30 years",AI,3400,,mg,AI,,,,DGA App1 T A1-2
NA,"Males 19-30 years",CDRR,2300,,mg,CDRR,,,,DGA App1 T A1-2
ZN,"Males 19-30 years",RDA,11,,mg,RDA,,,,DGA App1 T A1-2
VITA_RAE,"Males 19-30 years",RDA,900,,mcg RAE,RDA,,d,,DGA App1 T A1-2
VITE_AT,"Males 19-30 years",RDA,15,,mg AT,RDA,,d,,DGA App1 T A1-2
VITD_IU,"Males 19-30 years",RDA,600,,IU,RDA,,d,,DGA App1 T A1-2
VITC,"Males 19-30 years",RDA,90,,mg,RDA,,,,DGA App1 T A1-2
THIA,"Males 19-30 years",RDA,1.2,,mg,RDA,,,,DGA App1 T A1-2
RIBF,"Males 19-30 years",RDA,1.3,,mg,RDA,,,,DGA App1 T A1-2
NIA,"Males 19-30 years",RDA,16,,mg,RDA,,,,DGA App1 T A1-2
VITB6,"Males 19-30 years",RDA,1.3,,mg,RDA,,,,DGA App1 T A1-2
VITB12,"Males 19-30 years",RDA,2.4,,mcg,RDA,,,,DGA App1 T A1-2
CHOLN,"Males 19-30 years",AI,550,,mg,AI,,,,DGA App1 T A1-2
VITK,"Males 19-30 years",AI,120,,mcg,AI,,,,DGA App1 T A1-2
FOL_DFE,"Males 19-30 years",RDA,400,,mcg DFE,RDA,,d,,DGA App1 T A1-2
PROCNT,"Males 31-50 years",AMDR_perc_range,,"10-35",% kcal,AMDR,,,,DGA App1 T A1-2
PROCNT,"Males 31-50 years",RDA,56,,g,RDA,,,,DGA App1 T A1-2
CHOCDF,"Males 31-50 years",AMDR_perc_range,,"45-65",% kcal,AMDR,,,,DGA App1 T A1-2
CHOCDF,"Males 31-50 years",RDA,130,,g,RDA,,,,DGA App1 T A1-2
FIBTG,"Males 31-50 years",AI,31,,g,AI,"14g/1,000 kcal",,Assessed Calorie Level 2200 (2.2*14=30.8, rounded to 31),DGA App1 T A1-2
SUGAR_ADD,"Males 31-50 years",DGA_limit,,"<10",% kcal,DGA,,,,DGA App1 T A1-2
FAT,"Males 31-50 years",AMDR_perc_range,,"20-35",% kcal,AMDR,,,,DGA App1 T A1-2
FASAT,"Males 31-50 years",DGA_limit,,"<10",% kcal,DGA,,,,DGA App1 T A1-2
FALINOLEIC,"Males 31-50 years",AI,17,,g,AI,,,,DGA App1 T A1-2
FAALALIN,"Males 31-50 years",AI,1.6,,g,AI,,,,DGA App1 T A1-2
CA,"Males 31-50 years",RDA,1000,,mg,RDA,,,,DGA App1 T A1-2
FE,"Males 31-50 years",RDA,8,,mg,RDA,,,,DGA App1 T A1-2
MG,"Males 31-50 years",RDA,420,,mg,RDA,,,,DGA App1 T A1-2
P,"Males 31-50 years",RDA,700,,mg,RDA,,,,DGA App1 T A1-2
K,"Males 31-50 years",AI,3400,,mg,AI,,,,DGA App1 T A1-2
NA,"Males 31-50 years",CDRR,2300,,mg,CDRR,,,,DGA App1 T A1-2
ZN,"Males 31-50 years",RDA,11,,mg,RDA,,,,DGA App1 T A1-2
VITA_RAE,"Males 31-50 years",RDA,900,,mcg RAE,RDA,,d,,DGA App1 T A1-2
VITE_AT,"Males 31-50 years",RDA,15,,mg AT,RDA,,d,,DGA App1 T A1-2
VITD_IU,"Males 31-50 years",RDA,600,,IU,RDA,,d,,DGA App1 T A1-2
VITC,"Males 31-50 years",RDA,90,,mg,RDA,,,,DGA App1 T A1-2
THIA,"Males 31-50 years",RDA,1.2,,mg,RDA,,,,DGA App1 T A1-2
RIBF,"Males 31-50 years",RDA,1.3,,mg,RDA,,,,DGA App1 T A1-2
NIA,"Males 31-50 years",RDA,16,,mg,RDA,,,,DGA App1 T A1-2
VITB6,"Males 31-50 years",RDA,1.3,,mg,RDA,,,,DGA App1 T A1-2
VITB12,"Males 31-50 years",RDA,2.4,,mcg,RDA,,,,DGA App1 T A1-2
CHOLN,"Males 31-50 years",AI,550,,mg,AI,,,,DGA App1 T A1-2
VITK,"Males 31-50 years",AI,120,,mcg,AI,,,,DGA App1 T A1-2
FOL_DFE,"Males 31-50 years",RDA,400,,mcg DFE,RDA,,d,,DGA App1 T A1-2
PROCNT,"Males 51+ years",AMDR_perc_range,,"10-35",% kcal,AMDR,,,,DGA App1 T A1-2
PROCNT,"Males 51+ years",RDA,56,,g,RDA,,,,DGA App1 T A1-2
CHOCDF,"Males 51+ years",AMDR_perc_range,,"45-65",% kcal,AMDR,,,,DGA App1 T A1-2
CHOCDF,"Males 51+ years",RDA,130,,g,RDA,,,,DGA App1 T A1-2
FIBTG,"Males 51+ years",AI,28,,g,AI,"14g/1,000 kcal",,Assessed Calorie Level 2000 (2.0*14=28),DGA App1 T A1-2
SUGAR_ADD,"Males 51+ years",DGA_limit,,"<10",% kcal,DGA,,,,DGA App1 T A1-2
FAT,"Males 51+ years",AMDR_perc_range,,"20-35",% kcal,AMDR,,,,DGA App1 T A1-2
FASAT,"Males 51+ years",DGA_limit,,"<10",% kcal,DGA,,,,DGA App1 T A1-2
FALINOLEIC,"Males 51+ years",AI,14,,g,AI,,,,DGA App1 T A1-2
FAALALIN,"Males 51+ years",AI,1.6,,g,AI,,,,DGA App1 T A1-2
CA,"Males 51+ years",RDA,1000,,mg,RDA,,b,"Calcium RDA for males ages 71+ years is 1,200 mg.",DGA App1 T A1-2
CA,"Males 71+ years",RDA,1200,,mg,RDA,,b,"Calcium RDA for males ages 71+ years is 1,200 mg.",DGA App1 T A1-2
FE,"Males 51+ years",RDA,8,,mg,RDA,,,,DGA App1 T A1-2
MG,"Males 51+ years",RDA,420,,mg,RDA,,,,DGA App1 T A1-2
P,"Males 51+ years",RDA,700,,mg,RDA,,,,DGA App1 T A1-2
K,"Males 51+ years",AI,3400,,mg,AI,,,,DGA App1 T A1-2
NA,"Males 51+ years",CDRR,2300,,mg,CDRR,,,,DGA App1 T A1-2
ZN,"Males 51+ years",RDA,11,,mg,RDA,,,,DGA App1 T A1-2
VITA_RAE,"Males 51+ years",RDA,900,,mcg RAE,RDA,,d,,DGA App1 T A1-2
VITE_AT,"Males 51+ years",RDA,15,,mg AT,RDA,,d,,DGA App1 T A1-2
VITD_IU,"Males 51+ years",RDA,600,,IU,RDA,,c,"Vitamin D RDA for males and females ages 71+ years is 800 IU.",DGA App1 T A1-2
VITD_IU,"Males 71+ years",RDA,800,,IU,RDA,,c,"Vitamin D RDA for males and females ages 71+ years is 800 IU.",DGA App1 T A1-2
VITC,"Males 51+ years",RDA,90,,mg,RDA,,,,DGA App1 T A1-2
THIA,"Males 51+ years",RDA,1.2,,mg,RDA,,,,DGA App1 T A1-2
RIBF,"Males 51+ years",RDA,1.3,,mg,RDA,,,,DGA App1 T A1-2
NIA,"Males 51+ years",RDA,16,,mg,RDA,,,,DGA App1 T A1-2
VITB6,"Males 51+ years",RDA,1.7,,mg,RDA,,,,DGA App1 T A1-2
VITB12,"Males 51+ years",RDA,2.4,,mcg,RDA,,,,DGA App1 T A1-2
CHOLN,"Males 51+ years",AI,550,,mg,AI,,,,DGA App1 T A1-2
VITK,"Males 51+ years",AI,120,,mcg,AI,,,,DGA App1 T A1-2
FOL_DFE,"Males 51+ years",RDA,400,,mcg DFE,RDA,,d,,DGA App1 T A1-2
PROCNT,"Pregnancy 14-18 years 1st Trimester",AMDR_perc_range,,"10-30",% kcal,AMDR,,,,DGA App1 T A1-3
PROCNT,"Pregnancy 14-18 years 1st Trimester",RDA,71,,g,RDA,,,,DGA App1 T A1-3
CHOCDF,"Pregnancy 14-18 years 1st Trimester",AMDR_perc_range,,"45-65",% kcal,AMDR,,,,DGA App1 T A1-3
CHOCDF,"Pregnancy 14-18 years 1st Trimester",RDA,175,,g,RDA,,,,DGA App1 T A1-3
FIBTG,"Pregnancy 14-18 years 1st Trimester",AI,25,,g,AI,"14g/1,000 kcal",,Assessed Calorie Level 1800 (1.8*14=25.2, rounded to 25),DGA App1 T A1-3
SUGAR_ADD,"Pregnancy 14-18 years 1st Trimester",DGA_limit,,"<10",% kcal,DGA,,,,DGA App1 T A1-3
FAT,"Pregnancy 14-18 years 1st Trimester",AMDR_perc_range,,"25-35",% kcal,AMDR,,,,DGA App1 T A1-3
FASAT,"Pregnancy 14-18 years 1st Trimester",DGA_limit,,"<10",% kcal,DGA,,,,DGA App1 T A1-3
FALINOLEIC,"Pregnancy 14-18 years 1st Trimester",AI,13,,g,AI,,,,DGA App1 T A1-3
FAALALIN,"Pregnancy 14-18 years 1st Trimester",AI,1.4,,g,AI,,,,DGA App1 T A1-3
CA,"Pregnancy 14-18 years 1st Trimester",RDA,1300,,mg,RDA,,,,DGA App1 T A1-3
FE,"Pregnancy 14-18 years 1st Trimester",RDA,27,,mg,RDA,,,,DGA App1 T A1-3
MG,"Pregnancy 14-18 years 1st Trimester",RDA,400,,mg,RDA,,,,DGA App1 T A1-3
P,"Pregnancy 14-18 years 1st Trimester",RDA,1250,,mg,RDA,,,,DGA App1 T A1-3
K,"Pregnancy 14-18 years 1st Trimester",AI,2600,,mg,AI,,,,DGA App1 T A1-3
NA,"Pregnancy 14-18 years 1st Trimester",CDRR,2300,,mg,CDRR,,,,DGA App1 T A1-3
ZN,"Pregnancy 14-18 years 1st Trimester",RDA,12,,mg,RDA,,,,DGA App1 T A1-3
ID,"Pregnancy 14-18 years 1st Trimester",RDA,220,,mcg,RDA,,,,DGA App1 T A1-3
VITA_RAE,"Pregnancy 14-18 years 1st Trimester",RDA,750,,mcg RAE,RDA,,b,,DGA App1 T A1-3
VITE_AT,"Pregnancy 14-18 years 1st Trimester",RDA,15,,mg AT,RDA,,b,,DGA App1 T A1-3
VITD_IU,"Pregnancy 14-18 years 1st Trimester",RDA,600,,IU,RDA,,b,,DGA App1 T A1-3
VITC,"Pregnancy 14-18 years 1st Trimester",RDA,80,,mg,RDA,,,,DGA App1 T A1-3
THIA,"Pregnancy 14-18 years 1st Trimester",RDA,1.4,,mg,RDA,,,,DGA App1 T A1-3
RIBF,"Pregnancy 14-18 years 1st Trimester",RDA,1.4,,mg,RDA,,,,DGA App1 T A1-3
NIA,"Pregnancy 14-18 years 1st Trimester",RDA,18,,mg,RDA,,,,DGA App1 T A1-3
VITB6,"Pregnancy 14-18 years 1st Trimester",RDA,1.9,,mg,RDA,,,,DGA App1 T A1-3
VITB12,"Pregnancy 14-18 years 1st Trimester",RDA,2.6,,mcg,RDA,,,,DGA App1 T A1-3
CHOLN,"Pregnancy 14-18 years 1st Trimester",AI,450,,mg,AI,,,,DGA App1 T A1-3
VITK,"Pregnancy 14-18 years 1st Trimester",AI,75,,mcg,AI,,,,DGA App1 T A1-3
FOL_DFE,"Pregnancy 14-18 years 1st Trimester",RDA,600,,mcg DFE,RDA,,b,,DGA App1 T A1-3
PROCNT,"Pregnancy 14-18 years 2nd Trimester",AMDR_perc_range,,"10-30",% kcal,AMDR,,,,DGA App1 T A1-3
PROCNT,"Pregnancy 14-18 years 2nd Trimester",RDA,71,,g,RDA,,,,DGA App1 T A1-3
CHOCDF,"Pregnancy 14-18 years 2nd Trimester",AMDR_perc_range,,"45-65",% kcal,AMDR,,,,DGA App1 T A1-3
CHOCDF,"Pregnancy 14-18 years 2nd Trimester",RDA,175,,g,RDA,,,,DGA App1 T A1-3
FIBTG,"Pregnancy 14-18 years 2nd Trimester",AI,31,,g,AI,"14g/1,000 kcal",,Assessed Calorie Level 2200 (2.2*14=30.8, rounded to 31),DGA App1 T A1-3
SUGAR_ADD,"Pregnancy 14-18 years 2nd Trimester",DGA_limit,,"<10",% kcal,DGA,,,,DGA App1 T A1-3
FAT,"Pregnancy 14-18 years 2nd Trimester",AMDR_perc_range,,"25-35",% kcal,AMDR,,,,DGA App1 T A1-3
FASAT,"Pregnancy 14-18 years 2nd Trimester",DGA_limit,,"<10",% kcal,DGA,,,,DGA App1 T A1-3
FALINOLEIC,"Pregnancy 14-18 years 2nd Trimester",AI,13,,g,AI,,,,DGA App1 T A1-3
FAALALIN,"Pregnancy 14-18 years 2nd Trimester",AI,1.4,,g,AI,,,,DGA App1 T A1-3
CA,"Pregnancy 14-18 years 2nd Trimester",RDA,1300,,mg,RDA,,,,DGA App1 T A1-3
FE,"Pregnancy 14-18 years 2nd Trimester",RDA,27,,mg,RDA,,,,DGA App1 T A1-3
MG,"Pregnancy 14-18 years 2nd Trimester",RDA,400,,mg,RDA,,,,DGA App1 T A1-3
P,"Pregnancy 14-18 years 2nd Trimester",RDA,1250,,mg,RDA,,,,DGA App1 T A1-3
K,"Pregnancy 14-18 years 2nd Trimester",AI,2600,,mg,AI,,,,DGA App1 T A1-3
NA,"Pregnancy 14-18 years 2nd Trimester",CDRR,2300,,mg,CDRR,,,,DGA App1 T A1-3
ZN,"Pregnancy 14-18 years 2nd Trimester",RDA,12,,mg,RDA,,,,DGA App1 T A1-3
ID,"Pregnancy 14-18 years 2nd Trimester",RDA,220,,mcg,RDA,,,,DGA App1 T A1-3
VITA_RAE,"Pregnancy 14-18 years 2nd Trimester",RDA,750,,mcg RAE,RDA,,b,,DGA App1 T A1-3
VITE_AT,"Pregnancy 14-18 years 2nd Trimester",RDA,15,,mg AT,RDA,,b,,DGA App1 T A1-3
VITD_IU,"Pregnancy 14-18 years 2nd Trimester",RDA,600,,IU,RDA,,b,,DGA App1 T A1-3
VITC,"Pregnancy 14-18 years 2nd Trimester",RDA,80,,mg,RDA,,,,DGA App1 T A1-3
THIA,"Pregnancy 14-18 years 2nd Trimester",RDA,1.4,,mg,RDA,,,,DGA App1 T A1-3
RIBF,"Pregnancy 14-18 years 2nd Trimester",RDA,1.4,,mg,RDA,,,,DGA App1 T A1-3
NIA,"Pregnancy 14-18 years 2nd Trimester",RDA,18,,mg,RDA,,,,DGA App1 T A1-3
VITB6,"Pregnancy 14-18 years 2nd Trimester",RDA,1.9,,mg,RDA,,,,DGA App1 T A1-3
VITB12,"Pregnancy 14-18 years 2nd Trimester",RDA,2.6,,mcg,RDA,,,,DGA App1 T A1-3
CHOLN,"Pregnancy 14-18 years 2nd Trimester",AI,450,,mg,AI,,,,DGA App1 T A1-3
VITK,"Pregnancy 14-18 years 2nd Trimester",AI,75,,mcg,AI,,,,DGA App1 T A1-3
FOL_DFE,"Pregnancy 14-18 years 2nd Trimester",RDA,600,,mcg DFE,RDA,,b,,DGA App1 T A1-3
PROCNT,"Pregnancy 14-18 years 3rd Trimester",AMDR_perc_range,,"10-30",% kcal,AMDR,,,,DGA App1 T A1-3
PROCNT,"Pregnancy 14-18 years 3rd Trimester",RDA,71,,g,RDA,,,,DGA App1 T A1-3
CHOCDF,"Pregnancy 14-18 years 3rd Trimester",AMDR_perc_range,,"45-65",% kcal,AMDR,,,,DGA App1 T A1-3
CHOCDF,"Pregnancy 14-18 years 3rd Trimester",RDA,175,,g,RDA,,,,DGA App1 T A1-3
FIBTG,"Pregnancy 14-18 years 3rd Trimester",AI,34,,g,AI,"14g/1,000 kcal",,Assessed Calorie Level 2400 (2.4*14=33.6, rounded to 34),DGA App1 T A1-3
SUGAR_ADD,"Pregnancy 14-18 years 3rd Trimester",DGA_limit,,"<10",% kcal,DGA,,,,DGA App1 T A1-3
FAT,"Pregnancy 14-18 years 3rd Trimester",AMDR_perc_range,,"25-35",% kcal,AMDR,,,,DGA App1 T A1-3
FASAT,"Pregnancy 14-18 years 3rd Trimester",DGA_limit,,"<10",% kcal,DGA,,,,DGA App1 T A1-3
FALINOLEIC,"Pregnancy 14-18 years 3rd Trimester",AI,13,,g,AI,,,,DGA App1 T A1-3
FAALALIN,"Pregnancy 14-18 years 3rd Trimester",AI,1.4,,g,AI,,,,DGA App1 T A1-3
CA,"Pregnancy 14-18 years 3rd Trimester",RDA,1300,,mg,RDA,,,,DGA App1 T A1-3
FE,"Pregnancy 14-18 years 3rd Trimester",RDA,27,,mg,RDA,,,,DGA App1 T A1-3
MG,"Pregnancy 14-18 years 3rd Trimester",RDA,400,,mg,RDA,,,,DGA App1 T A1-3
P,"Pregnancy 14-18 years 3rd Trimester",RDA,1250,,mg,RDA,,,,DGA App1 T A1-3
K,"Pregnancy 14-18 years 3rd Trimester",AI,2600,,mg,AI,,,,DGA App1 T A1-3
NA,"Pregnancy 14-18 years 3rd Trimester",CDRR,2300,,mg,CDRR,,,,DGA App1 T A1-3
ZN,"Pregnancy 14-18 years 3rd Trimester",RDA,12,,mg,RDA,,,,DGA App1 T A1-3
ID,"Pregnancy 14-18 years 3rd Trimester",RDA,220,,mcg,RDA,,,,DGA App1 T A1-3
VITA_RAE,"Pregnancy 14-18 years 3rd Trimester",RDA,750,,mcg RAE,RDA,,b,,DGA App1 T A1-3
VITE_AT,"Pregnancy 14-18 years 3rd Trimester",RDA,15,,mg AT,RDA,,b,,DGA App1 T A1-3
VITD_IU,"Pregnancy 14-18 years 3rd Trimester",RDA,600,,IU,RDA,,b,,DGA App1 T A1-3
VITC,"Pregnancy 14-18 years 3rd Trimester",RDA,80,,mg,RDA,,,,DGA App1 T A1-3
THIA,"Pregnancy 14-18 years 3rd Trimester",RDA,1.4,,mg,RDA,,,,DGA App1 T A1-3
RIBF,"Pregnancy 14-18 years 3rd Trimester",RDA,1.4,,mg,RDA,,,,DGA App1 T A1-3
NIA,"Pregnancy 14-18 years 3rd Trimester",RDA,18,,mg,RDA,,,,DGA App1 T A1-3
VITB6,"Pregnancy 14-18 years 3rd Trimester",RDA,1.9,,mg,RDA,,,,DGA App1 T A1-3
VITB12,"Pregnancy 14-18 years 3rd Trimester",RDA,2.6,,mcg,RDA,,,,DGA App1 T A1-3
CHOLN,"Pregnancy 14-18 years 3rd Trimester",AI,450,,mg,AI,,,,DGA App1 T A1-3
VITK,"Pregnancy 14-18 years 3rd Trimester",AI,75,,mcg,AI,,,,DGA App1 T A1-3
FOL_DFE,"Pregnancy 14-18 years 3rd Trimester",RDA,600,,mcg DFE,RDA,,b,,DGA App1 T A1-3
PROCNT,"Pregnancy 19-30 years 1st Trimester",AMDR_perc_range,,"10-35",% kcal,AMDR,,,,DGA App1 T A1-3
PROCNT,"Pregnancy 19-30 years 1st Trimester",RDA,71,,g,RDA,,,,DGA App1 T A1-3
CHOCDF,"Pregnancy 19-30 years 1st Trimester",AMDR_perc_range,,"45-65",% kcal,AMDR,,,,DGA App1 T A1-3
CHOCDF,"Pregnancy 19-30 years 1st Trimester",RDA,175,,g,RDA,,,,DGA App1 T A1-3
FIBTG,"Pregnancy 19-30 years 1st Trimester",AI,28,,g,AI,"14g/1,000 kcal",,Assessed Calorie Level 2000 (2.0*14=28),DGA App1 T A1-3
SUGAR_ADD,"Pregnancy 19-30 years 1st Trimester",DGA_limit,,"<10",% kcal,DGA,,,,DGA App1 T A1-3
FAT,"Pregnancy 19-30 years 1st Trimester",AMDR_perc_range,,"20-35",% kcal,AMDR,,,,DGA App1 T A1-3
FASAT,"Pregnancy 19-30 years 1st Trimester",DGA_limit,,"<10",% kcal,DGA,,,,DGA App1 T A1-3
FALINOLEIC,"Pregnancy 19-30 years 1st Trimester",AI,13,,g,AI,,,,DGA App1 T A1-3
FAALALIN,"Pregnancy 19-30 years 1st Trimester",AI,1.4,,g,AI,,,,DGA App1 T A1-3
CA,"Pregnancy 19-30 years 1st Trimester",RDA,1000,,mg,RDA,,,,DGA App1 T A1-3
FE,"Pregnancy 19-30 years 1st Trimester",RDA,27,,mg,RDA,,,,DGA App1 T A1-3
MG,"Pregnancy 19-30 years 1st Trimester",RDA,350,,mg,RDA,,,,DGA App1 T A1-3
P,"Pregnancy 19-30 years 1st Trimester",RDA,700,,mg,RDA,,,,DGA App1 T A1-3
K,"Pregnancy 19-30 years 1st Trimester",AI,2900,,mg,AI,,,,DGA App1 T A1-3
NA,"Pregnancy 19-30 years 1st Trimester",CDRR,2300,,mg,CDRR,,,,DGA App1 T A1-3
ZN,"Pregnancy 19-30 years 1st Trimester",RDA,11,,mg,RDA,,,,DGA App1 T A1-3
ID,"Pregnancy 19-30 years 1st Trimester",RDA,220,,mcg,RDA,,,,DGA App1 T A1-3
VITA_RAE,"Pregnancy 19-30 years 1st Trimester",RDA,770,,mcg RAE,RDA,,b,,DGA App1 T A1-3
VITE_AT,"Pregnancy 19-30 years 1st Trimester",RDA,15,,mg AT,RDA,,b,,DGA App1 T A1-3
